from,to,weight
57186667,14120253,1
57186667,9406452,1
57186667,6598572,1
57186667,50888802,1
57186667,39782670,1
18030840,68571415,1
18030840,9870342,1
18030840,50888802,1
18030840,755603,1
18030840,6598572,1
18030840,13607,1
18030840,35702691,1
18030840,15527013,1
18030840,14120253,1
18030840,57186667,1
18030840,44984134,1
15814666,18729020,1
15814666,80273245,1
15814666,17853760,1
15814666,14973377,1
15814666,126881128,1
15814666,145753059,1
15814666,428333,1
15814666,16303106,1
18729020,15814666,1
1471021,809760,1
1471021,11340982,1
809760,24008967,1
809760,641433,1
809760,24608680,1
16107051,9406452,1
16107051,17643774,1
16107051,50888802,1
16107051,5413762,1
16107051,19579040,1
16107051,27463744,1
16107051,11340982,1
16107051,15527013,1
16107051,7183482,1
16107051,85416304,1
9406452,17853760,1
9406452,19579040,1
9406452,83883736,1
9406452,15527013,1
9406452,136055942,1
9406452,16107051,1
9406452,16530279,1
9406452,85416304,1
9406452,259110723,1
9406452,216126534,1
9406452,126881128,1
9406452,27463744,1
9406452,16129920,1
9406452,618593,1
9406452,15780631,1
9406452,17870501,1
9406452,17870415,1
39782670,85416304,1
39782670,50888802,1
39782670,27463744,1
39782670,15527013,1
85416304,7183482,1
85416304,19579040,1
85416304,17870415,1
85416304,91718540,1
85416304,50888802,1
85416304,16530279,1
85416304,136055942,1
85416304,9406452,1
85416304,16107051,1
85416304,57186667,1
85416304,259110723,1
85416304,39782670,1
85416304,38272894,1
85416304,19996594,1
85416304,29674222,1
85416304,21931952,1
85416304,5413762,1
85416304,44984134,1
85416304,618593,1
85416304,14120253,1
85416304,216126534,1
85416304,2029971,1
85416304,15527013,1
85416304,15780631,1
85416304,27463744,1
85416304,17870501,1
85416304,197141866,1
7183482,19579040,1
7183482,14120253,1
7183482,509323,1
7183482,13607,1
7183482,14958507,1
7183482,15780631,1
7183482,16107051,1
7183482,38272894,1
7183482,15527013,1
7183482,15534579,1
7183482,50888802,1
7183482,27463744,1
7183482,9406452,1
68571415,6598572,1
68571415,509323,1
68571415,44984134,1
68571415,57186667,1
68571415,27463744,1
68571415,35702691,1
68571415,50888802,1
68571415,18030840,1
68571415,9870342,1
68571415,13607,1
68571415,19996594,1
68571415,15527013,1
6598572,91718540,1
6598572,755603,1
6598572,21523946,1
6598572,19996594,1
6598572,27463744,1
6598572,57186667,1
6598572,44984134,1
6598572,14120253,1
6598572,13607,1
6598572,15527013,1
6598572,509323,1
6598572,18030840,1
6598572,50888802,1
6598572,9870342,1
6598572,35702691,1
19579040,14958507,1
19579040,85416304,1
19579040,15527013,1
19579040,21931952,1
19579040,57186667,1
19579040,50888802,1
19579040,38272894,1
19579040,9406452,1
19579040,136055942,1
19579040,17870415,1
19579040,618593,1
19579040,27463744,1
19579040,17870501,1
19579040,216126534,1
19579040,7183482,1
19579040,15780631,1
19579040,16530279,1
27463744,39782670,1
27463744,85416304,1
27463744,199032495,1
27463744,13607,1
27463744,50888802,1
27463744,35702691,1
27463744,7183482,1
27463744,14120253,1
27463744,16901455,1
27463744,68571415,1
27463744,15527013,1
27463744,15780631,1
27463744,38272894,1
27463744,755603,1
27463744,14958507,1
27463744,509323,1
27463744,6598572,1
27463744,19579040,1
27463744,16107051,1
27463744,259110723,1
15780631,199032495,1
15780631,14120253,1
15780631,428333,1
15780631,83883736,1
15780631,44984134,1
15780631,50888802,1
15780631,38272894,1
15780631,15527013,1
15780631,9406452,1
15780631,259110723,1
15780631,19579040,1
15780631,136055942,1
15780631,16303106,1
15780631,27463744,1
15780631,216126534,1
15780631,5413762,1
199032495,39782670,1
199032495,44984134,1
199032495,7183482,1
199032495,19579040,1
199032495,27463744,1
199032495,18681592,1
199032495,15780631,1
199032495,14120253,1
199032495,50888802,1
145753059,17853760,1
145753059,428333,1
145753059,24608680,1
145753059,16129920,1
145753059,15814666,1
145753059,16303106,1
17853760,641433,1
17853760,16129920,1
17853760,145753059,1
17853760,16303106,1
76561747,19323197,1
76561747,51808935,1
19323197,7985982,1
14120215,32765534,1
32765534,24008967,1
44655553,10266802,1
44655553,27242126,1
197141866,15527013,1
197141866,19579040,1
197141866,31986700,1
197141866,80273245,1
197141866,15780631,1
197141866,5413762,1
197141866,21523946,1
197141866,85416304,1
197141866,9406452,1
509323,14120215,1
509323,19996594,1
509323,27463744,1
509323,35702691,1
509323,10266802,1
509323,50888802,1
509323,57186667,1
509323,18681592,1
509323,44984134,1
509323,85416304,1
509323,18030840,1
509323,68571415,1
509323,6598572,1
509323,14120253,1
509323,13607,1
509323,428333,1
509323,7183482,1
509323,15527013,1
17643774,16107051,1
17643774,95822575,1
17643774,15456622,1
17643774,15527013,1
17643774,9663492,1
17643774,15780631,1
17643774,85416304,1
17643774,5413762,1
18681592,57186667,1
18681592,15527013,1
18681592,50888802,1
18681592,199032495,1
18681592,13607,1
18681592,509323,1
17129546,90630206,1
17129546,16457564,1
90630206,16530279,1
90630206,16457564,1
90630206,17129546,1
90630206,15527013,1
51662201,15527013,1
51662201,15534579,1
91718540,6598572,1
91718540,39782670,1
91718540,21212145,1
91718540,755603,1
91718540,15527013,1
91718540,16901455,1
91718540,9406452,1
91718540,50888802,1
91718540,2029971,1
91718540,509323,1
91718540,19579040,1
91718540,38272894,1
91718540,57186667,1
755603,428333,1
755603,809760,1
755603,4519121,1
755603,6598572,1
755603,21523946,1
755603,18030840,1
755603,618593,1
755603,641433,1
755603,17853760,1
755603,11340982,1
755603,91718540,1
755603,19996594,1
755603,1471021,1
755603,16129920,1
755603,3839,1
755603,5637652,1
755603,16303106,1
4519121,11340982,1
4519121,24008967,1
9453872,5637652,1
9453872,14538636,1
9453872,14538601,1
50888802,509323,1
50888802,27463744,1
50888802,755603,1
50888802,6598572,1
50888802,39782670,1
50888802,15527013,1
50888802,18681592,1
50888802,15780631,1
50888802,18030840,1
50888802,57186667,1
50888802,44984134,1
50888802,85416304,1
50888802,199032495,1
50888802,9406452,1
50888802,7183482,1
50888802,16107051,1
50888802,91718540,1
50888802,259110723,1
50888802,14120253,1
50888802,21212145,1
50888802,19579040,1
50888802,2029971,1
50888802,136055942,1
50888802,13607,1
50888802,16901455,1
131884083,27242126,1
131884083,61819621,1
131884083,10266802,1
17870501,1057431,1
17870501,9406452,1
17870501,17870415,1
17870501,19579040,1
17870501,15527013,1
17870501,31986700,1
1057431,618593,1
1057431,126881128,1
1057431,3839,1
1057431,17870501,1
1057431,17870415,1
1057431,16303106,1
1057431,428333,1
1057431,145753059,1
17870415,17870501,1
17870415,9406452,1
17870415,19579040,1
17870415,1057431,1
17870415,9663492,1
17870415,15527013,1
17870415,259110723,1
17870415,16129920,1
17870415,216126534,1
17870415,85416304,1
18344173,809760,1
18344173,145753059,1
18344173,24008967,1
18344173,9453872,1
18344173,14179822,1
45919912,83883736,1
45919912,1471021,1
45919912,15028425,1
45919912,16303106,1
45919912,80273245,1
45919912,24008967,1
45919912,4519121,1
45919912,678083,1
45919912,14973377,1
45919912,809760,1
83883736,109118877,1
16129920,16303106,1
16129920,17293897,1
9663492,17870415,1
9663492,17643774,1
9663492,19320328,1
12600372,15527013,1
12600372,19996594,1
12600372,14120253,1
12600372,44984134,1
12600372,9870342,1
12600372,57186667,1
32907513,17129546,1
32907513,16457564,1
13274152,17870501,1
13274152,15527013,1
13274152,15312009,1
13274152,16303106,1
13274152,16871402,1
35702691,44984134,1
35702691,19996594,1
35702691,15527013,1
35702691,18030840,1
35702691,9870342,1
35702691,27463744,1
35702691,50888802,1
35702691,68571415,1
35702691,14120253,1
35702691,509323,1
35702691,13607,1
35702691,12600372,1
35702691,57186667,1
35702691,755603,1
35702691,6598572,1
16657117,14973377,1
16657117,618593,1
14973377,15814666,1
14973377,14667274,1
16901455,145753059,1
16901455,15527013,1
19996594,509323,1
19996594,83883736,1
19996594,16871402,1
19996594,21523946,1
19996594,57186667,1
19996594,6598572,1
19996594,15312009,1
19996594,68571415,1
19996594,9870342,1
19996594,15527013,1
19996594,44984134,1
19996594,12600372,1
19996594,13607,1
19996594,14120253,1
19996594,85416304,1
19996594,755603,1
19996594,35702691,1
3839,11340982,1
3839,5637652,1
3839,14120215,1
3839,1501471,1
618593,126881128,1
618593,641433,1
618593,145753059,1
618593,14667274,1
618593,818489,1
618593,31986700,1
618593,428333,1
618593,11340982,1
618593,80273245,1
618593,16129920,1
15028425,126881128,1
15028425,83883736,1
15028425,45919912,1
24008967,32765534,1
24008967,809760,1
24008967,18344173,1
27242126,428333,1
27242126,10266802,1
27242126,83883736,1
27242126,61819621,1
27242126,131884083,1
641433,809760,1
641433,16303106,1
641433,17853760,1
641433,1471021,1
10452732,17293897,1
17293897,24608680,1
36182824,14538636,1
36182824,5637652,1
36182824,16303106,1
36182824,3839,1
36182824,17964423,1
36182824,14538601,1
16974245,83883736,1
16974245,1501471,1
16530279,15312009,1
16530279,15527013,1
18103410,15456622,1
18103410,15527013,1
21523946,15527013,1
21523946,19996594,1
21523946,755603,1
21523946,9870342,1
17814635,818489,1
17814635,678083,1
15666545,15567998,1
15666545,16303106,1
15666545,24008967,1
24608680,428333,1
24608680,809760,1
24608680,17853760,1
24608680,17293897,1
1501471,83883736,1
1501471,17853760,1
1501471,809760,1
1501471,16303106,1
1501471,17293897,1
1501471,145753059,1
1501471,16974245,1
1501471,24008967,1
1501471,3839,1
1501471,818489,1
1501471,428333,1
75321229,15527013,1
22559840,15527013,1
22559840,16303106,1
22559840,17853760,1
1899531,618593,1
1899531,428333,1
5413762,15780631,1
5413762,85416304,1
5413762,16107051,1
5413762,197141866,1
5413762,15527013,1
5413762,136055942,1
5413762,17853760,1
31352453,15567998,1
31352453,18660360,1
21931952,9406452,1
216126534,17870501,1
216126534,15780631,1
216126534,19579040,1
216126534,259110723,1
216126534,16129920,1
216126534,9406452,1
216126534,85416304,1
216126534,17870415,1
216126534,15527013,1
2029971,91718540,1
2029971,50888802,1
2029971,809760,1
2029971,57186667,1
2029971,15527013,1
14294508,3839,1
14294508,428333,1
16457564,618593,1
16457564,15527013,1
31986700,618593,1
31986700,17870501,1
31986700,22093555,1
21346559,32765534,1
17964423,36182824,1
17964423,5637652,1
18166557,809760,1
35432497,428333,1
109118877,83883736,1
14179822,17293897,1
14179822,809760,1
14179822,1471021,1
18660360,31352453,1
678083,17814635,1
678083,45919912,1
41170823,32765534,1
16575213,16953895,1
